mois;BattV_MIN;BattV_MAX;PTemp_C_MIN;PTemp_C_MAX;Temp_1000cm_MIN;Temp_1000cm_MAX;Temp_464cm_MIN;Temp_464cm_MAX;Temp_215_cm_MIN;Temp_215_cm_MAX;Direction_1000cm_MIN;Direction_1000cm_MAX;Vent_1000cm_MIN;Vent_1000cm_MAX;Vent_464cm_X19230_MIN;Vent_464cm_X19230_MAX;Vent_215cm_X19229_MIN;Vent_215cm_X19229_MAX;Vent_100cm_X19228_MIN;Vent_100cm_X19228_MAX;HumRel_464cm_MIN;HumRel_464cm_MAX;Pluie_Tot_MIN;Pluie_Tot_MAX;Sensit_nb_particules_Tot_MIN;Sensit_nb_particules_Tot_MAX;Sensit_energiekinetique_Tot_MIN;Sensit_energiekinetique_Tot_MAX 
1;0;14;-39;15.5;-39;15.5;-39;15.5;-39;15.5;0;360;0;90;0;90;0;90;0;90;0;100;0;47;0;10;0;10
2;0;14;-40;15.5;-40;15.5;-40;15.5;-40;15.5;0;360;0;80;0;80;0;80;0;80;0;100;0;32;0;10;0;10
3;0;14;-33;23.3;-33;23.3;-33;23.3;-33;23.3;0;360;0;74;0;74;0;74;0;74;0;100;0;32;0;10;0;10
4;0;14;-14.5;29;-14.5;29;-14.5;29;-14.5;29;0;360;0;70;0;70;0;70;0;70;0;100;0;48;0;10;0;10
5;0;14;-4.4;32.2;-4.4;32.2;-4.4;32.2;-4.4;32.2;0;360;0;72;0;72;0;72;0;72;0;100;0;46;0;10;0;10
6;0;14;0.5;34.5;0.5;34.5;0.5;34.5;0.5;34.5;0;360;0;66;0;66;0;66;0;66;0;100;0;67;0;10;0;10
7;0;14;2.5;34;2.5;34;2.5;34;2.5;34;0;360;0;58;0;58;0;58;0;58;0;100;0;64;0;10;0;10
8;0;14;2;34.5;2;34.5;2;34.5;2;34.5;0;360;0;55;0;55;0;55;0;55;0;100;0;74;0;10;0;10
9;0;14;-4.5;32;-4.5;32;-4.5;32;-4.5;32;0;360;0;65;0;65;0;65;0;65;0;100;0;82;0;10;0;10
10;0;14;-7;28;-7;28;-7;28;-7;28;0;360;0;72;0;72;0;72;0;72;0;100;0;81;0;10;0;10
11;0;14;-21;21.1;-21;21.1;-21;21.1;-21;21.1;0;360;0;76;0;76;0;76;0;76;0;100;0;94;0;10;0;10
12;0;14;-32;17;-32;17;-32;17;-32;17;0;360;0;72;0;72;0;72;0;72;0;100;0;51;0;10;0;10
